# Chunk-averaged data for fix g_avg and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
50000 240 51540.000000000015
  14 0.05625 199.722 298.941
  15 0.0604167 220.962 303.851
  16 0.0645833 216.422 301.171
  17 0.06875 207.7 302.535
  18 0.0729167 223.194 301.112
  19 0.0770833 200.062 299.912
  20 0.08125 221.932 295.243
  21 0.0854167 219.712 299.705
  22 0.0895833 212.294 301.146
  23 0.09375 220 301.901
  24 0.0979167 200.144 298.808
  25 0.102083 220.466 295.025
  26 0.10625 222.83 290.727
  27 0.110417 202.56 289.718
  28 0.114583 232 294.908
  29 0.11875 200.478 297.23
  30 0.122917 219.966 291.809
  31 0.127083 220.898 292.854
  32 0.13125 200.658 296.444
  33 0.135417 220 297.697
  34 0.139583 201.738 296.694
  35 0.14375 224.574 299.432
  36 0.147917 216.822 303.526
  37 0.152083 207.672 299.332
  38 0.15625 223.194 297.884
  39 0.160417 208.098 295.153
  40 0.164583 227.32 294.607
  41 0.16875 219.424 297.435
  42 0.172917 204.858 298.85
  43 0.177083 226.3 302.287
  44 0.18125 199.46 300.831
  45 0.185417 224.104 301.269
  46 0.189583 219.99 299.471
  47 0.19375 204.006 303.738
  48 0.197917 232.44 301.54
  49 0.202083 198.162 302.271
  50 0.20625 224.442 302.781
  51 0.210417 220.074 299.036
  52 0.214583 201.984 300.433
  53 0.21875 223.338 297.042
  54 0.222917 198.388 298.866
  55 0.227083 229.55 293.824
  56 0.23125 210.052 297.044
  57 0.235417 206.784 301.189
  58 0.239583 223.226 297.018
  59 0.24375 198.892 296.21
  60 0.247917 232.378 295.103
  61 0.252083 211.628 294.886
  62 0.25625 211.102 294.356
  63 0.260417 220 298.209
  64 0.264583 198.564 293.917
  65 0.26875 229.122 293.451
  66 0.272917 217.866 297.986
  67 0.277083 200.448 296.732
  68 0.28125 232 300.938
  69 0.285417 199.516 297.785
  70 0.289583 224.202 300.504
  71 0.29375 220.206 301.668
  72 0.297917 198.076 303.222
  73 0.302083 220 297.875
  74 0.30625 200.028 298.137
  75 0.310417 232.59 297.409
  76 0.314583 211.75 293.661
  77 0.31875 206.338 296.756
  78 0.322917 223.294 299.491
  79 0.327083 206.342 300.235
  80 0.33125 224.958 303.247
  81 0.335417 224.668 303.353
  82 0.339583 203.314 303.959
  83 0.34375 226.718 305.761
  84 0.347917 198.006 306.454
  85 0.352083 216.572 302.226
  86 0.35625 229.366 303.173
  87 0.360417 203.17 300.759
  88 0.364583 232.886 297.783
  89 0.36875 198.002 299.663
  90 0.372917 212.444 298.339
  91 0.377083 232.304 300.675
  92 0.38125 201.732 303.871
  93 0.385417 223.518 305.058
  94 0.389583 198.028 300.033
  95 0.39375 216.06 299.404
  96 0.397917 223.878 295.234
  97 0.402083 206.506 300.717
  98 0.40625 223.528 302.347
  99 0.410417 198.08 304.164
  100 0.414583 217.22 301.697
  101 0.41875 227.3 305.258
  102 0.422917 211.4 299.596
  103 0.427083 220 299.22
  104 0.43125 198.024 300.591
  105 0.435417 215.712 299.313
  106 0.439583 231.216 303.257
  107 0.44375 201.048 303.161
  108 0.447917 232 303.717
  109 0.452083 199.074 303.756
  110 0.45625 214.106 304.192
  111 0.460417 229.706 300.779
  112 0.464583 199.114 301.664
  113 0.46875 220 302.542
  114 0.472917 199.11 301.815
  115 0.477083 218.358 299.894
  116 0.48125 226.738 303.241
  117 0.485417 206.132 305.128
  118 0.489583 223.662 303.784
  119 0.49375 205.546 306.942
  120 0.497917 220.976 301.513
  121 0.502083 228.852 299.307
  122 0.50625 203.464 298.835
  123 0.510417 227.162 295.715
  124 0.514583 198.046 298.722
  125 0.51875 213.952 298.014
  126 0.522917 231.01 301.281
  127 0.527083 204.174 296.403
  128 0.53125 232.818 301.1
  129 0.535417 198.028 300.543
  130 0.539583 209.536 298.353
  131 0.54375 232.814 297.004
  132 0.547917 204.242 300.713
  133 0.552083 223.38 301.226
  134 0.55625 198.096 296.951
  135 0.560417 211.994 298.634
  136 0.564583 225.988 298.977
  137 0.56875 208.56 297.477
  138 0.572917 223.362 298.839
  139 0.577083 198.496 297.031
  140 0.58125 213.798 298.909
  141 0.585417 229.084 298.278
  142 0.589583 212.622 298.095
  143 0.59375 220 296.37
  144 0.597917 198.93 298.694
  145 0.602083 214.228 301.445
  146 0.60625 230.226 302.086
  147 0.610417 202.616 292.336
  148 0.614583 232 297.258
  149 0.61875 199.61 298.86
  150 0.622917 215.05 299.541
  151 0.627083 227.352 298.72
  152 0.63125 199.988 301.974
