20050000 240 47376.00000000002
  196 0.814583 189.014 296.33
  197 0.81875 189.162 294.522
  198 0.822917 209.89 298.176
  199 0.827083 191.618 295.961
  200 0.83125 192.972 297.019
  201 0.835417 208.438 298.799
  202 0.839583 193.9 302.386
  203 0.84375 208.326 300.52
  204 0.847917 200.442 297.684
  205 0.852083 188.392 301.482
  206 0.85625 211.518 299.843
  207 0.860417 189.328 299.811
  208 0.864583 189 299.184
  209 0.86875 210 302.093
  210 0.872917 189 302.074
  211 0.877083 189 301.6
  212 0.88125 210 303.347
  213 0.885417 189 301.203
  214 0.889583 189 298.737
  215 0.89375 210 300.56
  216 0.897917 189.002 300.368
  217 0.902083 189.102 300.505
  218 0.90625 209.948 298.854
  219 0.910417 191.05 300.009
  220 0.914583 193.026 300.123
  221 0.91875 209.774 299
  222 0.922917 192.55 294.564
  223 0.927083 206.674 297.711
  224 0.93125 200.638 299.571
  225 0.935417 187.628 304.179
  226 0.939583 211.95 301.994
  227 0.94375 191.62 297.896
  228 0.947917 188.952 298.904
  229 0.952083 210.064 298.842
  230 0.95625 189.022 299.63
  231 0.960417 189 292.399
  232 0.964583 210 294.345
  233 0.96875 189 296.963
  234 0.972917 189 298.783
  235 0.977083 210 295.819
  236 0.98125 189 297.749
  237 0.985417 189.002 299.922
  238 0.989583 210.03 303.92
  239 0.99375 189.164 303.518
  240 0.997917 191.088 301.6
20150000 240 47375.99999999998
  1 0.00208333 212.368 305.309
  2 0.00625 189.312 301.117
  3 0.0104167 212.208 302.096
  4 0.0145833 193.284 300.072
  5 0.01875 190.17 300.586
  6 0.0229167 209.936 303.041
  7 0.0270833 189.152 303.632
  8 0.03125 189.034 305.756
  9 0.0354167 209.998 300.315
  10 0.0395833 189.002 301.739
  11 0.04375 189 304.361
  12 0.0479167 210 302.28
  13 0.0520833 189 305.344
  14 0.05625 189 308.424
  15 0.0604167 210 302.915
  16 0.0645833 189 299.801
  17 0.06875 189.01 301.599
  18 0.0729167 210.15 299.266
  19 0.0770833 189.752 303.757
  20 0.08125 195.204 302.37
  21 0.0854167 212.596 298.394
  22 0.0895833 188.518 299.988
  23 0.09375 210.984 297.42
  24 0.0979167 197.222 298.362
  25 0.102083 190.558 297.273
  26 0.10625 210.112 296.434
  27 0.110417 189.782 295.353
  28 0.114583 189.112 292.561
  29 0.11875 210 294.894
  30 0.122917 189 297.151
  31 0.127083 189 299.936
  32 0.13125 210 300.912
  33 0.135417 189 302.626
  34 0.139583 189 300.635
  35 0.14375 210 300.836
  36 0.147917 189 301.821
  37 0.152083 189.004 300.446
  38 0.15625 210.072 298.238
  39 0.160417 189.032 299.504
  40 0.164583 190.996 301.404
  41 0.16875 211.042 299.708
  42 0.172917 190.932 301.059
  43 0.177083 200.74 304.433
  44 0.18125 204.528 305.398
  45 0.185417 191.652 308.542
  46 0.189583 208.106 304.145
  47 0.19375 195.232 304.947
  48 0.197917 191.134 305.107
  49 0.202083 210.202 306.386
  50 0.20625 189.296 303.043
  51 0.210417 189.032 307.333
  52 0.214583 210 305.011
  53 0.21875 189 303.704
  54 0.222917 189 308.062
  55 0.227083 210 305.508
  56 0.23125 189 306.252
  57 0.235417 189.002 305.17
  58 0.239583 210.054 301.833
  59 0.24375 189.498 301.795
  60 0.247917 196.626 302.461
  61 0.252083 213.582 303.667
  62 0.25625 195.022 294.793
  63 0.260417 211.394 296.955
  64 0.264583 190.8 300.052
  65 0.26875 189.022 299.408
  66 0.272917 210 300.889
  67 0.277083 189 296.989
  68 0.28125 189 293.912
  69 0.285417 210 296.507
  70 0.289583 189 300.819
  71 0.29375 189 299.596
  72 0.297917 210.028 299.644
  73 0.302083 189.004 304.298
  74 0.30625 190.788 303.272
  75 0.310417 212.408 300.552
  76 0.314583 188.06 294.882
  77 0.31875 202.822 296.283
  78 0.322917 204.638 292.911
  79 0.327083 191.578 298.349
  80 0.33125 208.296 300.715
  81 0.335417 195.906 299.442
  82 0.339583 189.882 300.332
  83 0.34375 210.492 300.177
  84 0.347917 189.098 297.311
  85 0.352083 189 294.97
  86 0.35625 210 301.719
  87 0.360417 189 302.212
  88 0.364583 189 296.776
  89 0.36875 210 297.471
  90 0.372917 189 298.854
  91 0.377083 189 302.443
  92 0.38125 210.026 303.212
  93 0.385417 188.974 303.364
  94 0.389583 190.174 307.572
  95 0.39375 211.94 307.49
  96 0.397917 186.334 304.688
  97 0.402083 199.406 301
  98 0.40625 211.458 299.59
  99 0.410417 187.482 299.028
  100 0.414583 212.176 296.801
  101 0.41875 195.91 298.962
  102 0.422917 189.778 298.881
  103 0.427083 210.264 304.061
  104 0.43125 189.078 302.711
  105 0.435417 189 305.341
  106 0.439583 210 304.014
  107 0.44375 189 302.221
  108 0.447917 189 302.967
  109 0.452083 210 305.269
  110 0.45625 189 302.544
  111 0.460417 189.004 297.675
  112 0.464583 210.046 299.17
  113 0.46875 189.05 304.545
  114 0.472917 190.66 301.991
  115 0.477083 211.388 298.635
  116 0.48125 187.416 299.542
  117 0.485417 199.82 300.345
  118 0.489583 210.868 295.346
  119 0.49375 188.992 295.171
  120 0.497917 213.65 298.634
  121 0.502083 192.948 303.51
  122 0.50625 189.088 306.315
  123 0.510417 210.058 301.974
  124 0.514583 189.012 297.94
  125 0.51875 189 301.55
  126 0.522917 210 305.456
  127 0.527083 189 300.193
  128 0.53125 189 294.917
  129 0.535417 210 295.106
  130 0.539583 189 298.289
  131 0.54375 189.076 302.788
  132 0.547917 210.41 300.923
  133 0.552083 188.996 297.152
  134 0.55625 194.642 298.659
  135 0.560417 210.552 301.146
  136 0.564583 189.67 299.238
  137 0.56875 206.544 301.612
  138 0.572917 202.758 297.077
  139 0.577083 187.704 294.016
  140 0.58125 212.39 293.424
  141 0.585417 191.248 296.044
  142 0.589583 188.97 294.553
  143 0.59375 210.04 298.704
  144 0.597917 189 299.971
  145 0.602083 189 300.447
  146 0.60625 210 305.067
  147 0.610417 189 301.211
  148 0.614583 189 301.26
  149 0.61875 210 301.874
  150 0.622917 189 299.312
  151 0.627083 189 301.521
  152 0.63125 210.002 302.049
  153 0.635417 189.304 304.004
  154 0.639583 190.266 304.166
  155 0.64375 209.286 305.934
  156 0.647917 193.426 303.186
  157 0.652083 196.172 301.623
  158 0.65625 206.716 300.999
  159 0.660417 189.984 300.367
  160 0.664583 209.676 302.185
  161 0.66875 199.286 303.055
  162 0.672917 188.788 301.852
  163 0.677083 210.936 298.207
  164 0.68125 189.158 295.876
  165 0.685417 189 298.052
  166 0.689583 210 297.857
  167 0.69375 189 303.606
  168 0.697917 189 299.997
  169 0.702083 210 300.478
  170 0.70625 189 300.778
  171 0.710417 189 300.132
  172 0.714583 210 299.508
  173 0.71875 189.004 300.678
  174 0.722917 189.082 297.914
  175 0.727083 209.914 292.225
  176 0.73125 190.774 293.056
  177 0.735417 191.226 300.536
  178 0.739583 208.994 296.829
  179 0.74375 192.344 299.415
  180 0.747917 204.276 292.831
  181 0.752083 204.432 294.711
  182 0.75625 190.702 300.768
  183 0.760417 211.93 298.403
  184 0.764583 190.274 298.053
  185 0.76875 189.046 303.562
  186 0.772917 210.002 302.836
  187 0.777083 189 299.546
  188 0.78125 189 300.316
  189 0.785417 210 301.776
  190 0.789583 189 300.036
  191 0.79375 189 301.662
  192 0.797917 210 303.836
  193 0.802083 189 302.985
  194 0.80625 189 299.361
  195 0.810417 210.004 303.102
  196 0.814583 188.996 302.454
  197 0.81875 189.266 301.63
  198 0.822917 210.698 300.346
  199 0.827083 189.684 306.138
  200 0.83125 197.948 301.813
  201 0.835417 209.638 302.816
  202 0.839583 192.716 297.956
  203 0.84375 211.312 301.535
  204 0.847917 194.038 301.661
  205 0.852083 189.61 305.098
  206 0.85625 210.076 305.334
  207 0.860417 189.014 300.334
  208 0.864583 189 301.597
  209 0.86875 210 300.652
  210 0.872917 189 306.054
  211 0.877083 189 303.367
  212 0.88125 210 299.907
  213 0.885417 189 303.011
  214 0.889583 189 300.615
  215 0.89375 210 300.843
  216 0.897917 189 306.011
  217 0.902083 189.002 305.348
  218 0.90625 210.032 307.326
  219 0.910417 189.13 300.281
  220 0.914583 191.408 300.957
  221 0.91875 211.914 301.3
  222 0.922917 191.806 300.201
  223 0.927083 207.488 300.31
  224 0.93125 202.588 301.53
  225 0.935417 190.454 304.753
  226 0.939583 210.988 301.151
  227 0.94375 189.19 303.655
  228 0.947917 189 302.169
  229 0.952083 210 298.969
  230 0.95625 189 294.79
  231 0.960417 189 296.015
  232 0.964583 210 297.327
  233 0.96875 189 295.238
  234 0.972917 189 297.275
  235 0.977083 210 298.053
  236 0.98125 189 298.236
  237 0.985417 189.04 302.525
  238 0.989583 210.438 303.419
  239 0.99375 189.24 303.242
  240 0.997917 198.818 304.017
20200000 240 47376.00000000004
  1 0.00208333 210.59 294.624
  2 0.00625 188.828 296.149
  3 0.0104167 213.092 302.661
  4 0.0145833 193.722 300.707
  5 0.01875 188.756 294.494
  6 0.0229167 210.26 295.879
  7 0.0270833 189.008 294.504
  8 0.03125 189 302.073
  9 0.0354167 210 301.542
  10 0.0395833 189 301.482
  11 0.04375 189 304.075
  12 0.0479167 210 300.703
  13 0.0520833 189 299.222
  14 0.05625 189 293.775
  15 0.0604167 210.002 300.296
  16 0.0645833 189.006 299.39
  17 0.06875 189.34 301.8
  18 0.0729167 210.94 300.185
  19 0.0770833 189.164 298.786
  20 0.08125 197.396 298.534
  21 0.0854167 210.604 302.055
  22 0.0895833 191.214 303.817
  23 0.09375 211.598 298.902
  24 0.0979167 194.944 296.332
  25 0.102083 189.364 296.998
  26 0.10625 210.368 298.581
  27 0.110417 189.06 297.459
  28 0.114583 189 298.85
  29 0.11875 210 300.355
  30 0.122917 189 298.756
  31 0.127083 189 304.68
  32 0.13125 210 303.053
  33 0.135417 189 305.267
  34 0.139583 189 306.51
  35 0.14375 210.002 302.831
  36 0.147917 188.998 306.272
  37 0.152083 189.086 305.853
  38 0.15625 210.37 304.026
  39 0.160417 188.792 304.783
  40 0.164583 193.764 303.023
  41 0.16875 210.994 302.306
  42 0.172917 189.558 302.871
  43 0.177083 203.796 299.589
  44 0.18125 201.978 299.542
  45 0.185417 195.342 297.411
  46 0.189583 209.728 294.808
  47 0.19375 190.322 292.598
  48 0.197917 189.27 296.636
  49 0.202083 209.996 300.123
  50 0.20625 189.004 302.696
  51 0.210417 189 306.077
  52 0.214583 210 300.351
  53 0.21875 189 299.038
  54 0.222917 189 304.47
  55 0.227083 210 302.345
  56 0.23125 189 301.377
  57 0.235417 189.122 299.87
  58 0.239583 210.346 298.862
  59 0.24375 188.71 300.528
  60 0.247917 193.352 300.291
  61 0.252083 211.108 304.116
  62 0.25625 197.676 300.535
  63 0.260417 208.566 303.731
  64 0.264583 194.758 304.108
  65 0.26875 191.322 301.879
  66 0.272917 210 305.845
  67 0.277083 189.036 301.505
  68 0.28125 189.004 300.898
  69 0.285417 210 297.659
  70 0.289583 189 300.816
  71 0.29375 189 301.167
  72 0.297917 210 300.278
  73 0.302083 189 297.16
  74 0.30625 189.002 299.188
  75 0.310417 210.086 299.027
  76 0.314583 189.092 299.655
  77 0.31875 191.31 299.116
  78 0.322917 210.648 297.477
  79 0.327083 192.12 300.637
  80 0.33125 202.272 296.982
  81 0.335417 205.074 293.655
  82 0.339583 192.09 298.032
  83 0.34375 211.678 301.408
  84 0.347917 190.61 301.174
  85 0.352083 188.992 295.054
  86 0.35625 210.026 300.53
  87 0.360417 189 299.315
  88 0.364583 189 299.281
  89 0.36875 210 301.645
  90 0.372917 189 302.559
  91 0.377083 189 300.862
  92 0.38125 210 297.281
  93 0.385417 189 302.502
  94 0.389583 189 301.55
  95 0.39375 210 302.922
  96 0.397917 189.098 304.354
  97 0.402083 189.878 302.733
  98 0.40625 211.834 302.82
  99 0.410417 192.092 298.612
  100 0.414583 209.092 300.645
  101 0.41875 202.938 302.002
  102 0.422917 188.376 295.27
  103 0.427083 211.704 296.489
  104 0.43125 189.988 296.459
  105 0.435417 188.952 297.331
  106 0.439583 210.044 301.911
  107 0.44375 189.004 302.561
  108 0.447917 189 299.44
  109 0.452083 210 297.954
  110 0.45625 189 297.668
  111 0.460417 189 302.176
  112 0.464583 210 301.361
  113 0.46875 189 302.059
  114 0.472917 189.016 307.858
  115 0.477083 210.248 306.087
  116 0.48125 189.782 301.448
  117 0.485417 200.624 302.546
  118 0.489583 212.332 301.11
  119 0.49375 190.292 299.386
  120 0.497917 213.31 295.128
  121 0.502083 190.39 294.861
  122 0.50625 189.006 299.045
  123 0.510417 210 297.243
  124 0.514583 189 301.777
  125 0.51875 189 297.821
  126 0.522917 210 301.292
  127 0.527083 189 298.577
  128 0.53125 189 297.255
  129 0.535417 210 298.553
  130 0.539583 189 301.248
  131 0.54375 189 299.666
  132 0.547917 210 296.458
  133 0.552083 189.024 297.157
  134 0.55625 189.414 295.851
  135 0.560417 209.994 299.701
  136 0.564583 192.488 301.301
  137 0.56875 199.576 304.929
  138 0.572917 209.128 304.8
  139 0.577083 191.944 304.958
  140 0.58125 212.468 300.875
  141 0.585417 190.876 303.257
  142 0.589583 189.08 304.965
  143 0.59375 210.008 306.95
  144 0.597917 189 308.178
  145 0.602083 189 308.234
  146 0.60625 210 308.146
  147 0.610417 189 307.756
  148 0.614583 189 304.918
  149 0.61875 210 304.196
  150 0.622917 189 296.933
  151 0.627083 189 299.64
  152 0.63125 210 303.202
  153 0.635417 189.018 304.734
  154 0.639583 189.11 302.474
  155 0.64375 210.05 303.17
  156 0.647917 190.284 303.702
  157 0.652083 194.976 299.869
  158 0.65625 210.002 300.236
  159 0.660417 194.46 302.775
  160 0.664583 209.918 301.313
  161 0.66875 195.742 306.841
  162 0.672917 189.98 302.676
  163 0.677083 210.384 299.606
  164 0.68125 189.076 298.956
  165 0.685417 189 298.218
  166 0.689583 210 300.189
  167 0.69375 189 302.227
  168 0.697917 189 301.388
  169 0.702083 210 303.695
  170 0.70625 189 303.573
  171 0.710417 189 299.053
  172 0.714583 210 302.108
  173 0.71875 189 303.772
  174 0.722917 189.004 297.053
  175 0.727083 210.066 296.612
  176 0.73125 189.27 300.099
  177 0.735417 192.03 301.141
  178 0.739583 210.728 298.836
  179 0.74375 193.8 306.128
  180 0.747917 206.968 304.77
  181 0.752083 200.91 302.443
  182 0.75625 191.206 303.769
  183 0.760417 210.722 300.08
  184 0.764583 189.292 305.327
