# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3]
0 100
45 154000 157 -95682.1 83940.9 18319.5
46 157500 156 -24021 -123662 28111.3
47 161000 155 -53242.7 24140.7 80998.9
48 164500 154 -49820 -20082.8 -159722
49 168000 153 -55199.9 -45844.8 -101632
50 171500 152 -83949.5 46214.6 6271.35
51 175000 151 60162.1 -11944.7 -15625.7
52 178500 150 -45186 40902.3 38156.1
53 182000 149 84842.9 21982.1 92939.5
54 185500 148 -2642.29 -8322.24 -8218.26
55 189000 147 -20451.8 69449.8 118686
56 192500 146 30637.2 14442.3 40991.4
57 196000 145 11655.6 -56311.8 -107278
58 199500 144 -32071.4 25470.6 54350.8
59 203000 143 -100987 -5876.25 -91863
60 206500 142 -19563.6 93203.3 -21729.7
61 210000 141 -90422.8 -106584 34653.6
62 213500 140 57465.8 33715.3 -27247.5
63 217000 139 -42312.7 -24197.3 -13841.8
64 220500 138 21375.6 5541.24 27467.1
65 224000 137 45879.3 -14958.1 -23796.2
66 227500 136 37234.6 52713.4 -49882.7
67 231000 135 71223.9 -139542 77415
68 234500 134 47359 53513.8 -27670.4
69 238000 133 41894.6 -692.151 72190
70 241500 132 28882.2 92234.7 -8935.99
71 245000 131 97384.5 -153616 -39851.8
72 248500 130 80535 60876.7 -56105.2
73 252000 129 30146.6 -53318.1 -9357.31
74 255500 128 17105.1 -67495.6 -14316.4
75 259000 127 36567.6 -12969.3 97397.1
76 262500 126 -3662.97 51671.3 113862
77 266000 125 48982.6 73856 -88010.7
78 269500 124 -4747.03 -85701.5 125026
79 273000 123 -60904.8 -17194.9 -13748.4
80 276500 122 -12114.5 61711 -154342
81 280000 121 99585.8 114067 -216751
82 283500 120 -72838 -75122 -83477.6
83 287000 119 -61706 27840.6 -66269.5
84 290500 118 -13779.9 23441.6 70820
85 294000 117 -13082.7 53849.7 -101786
86 297500 116 37894.4 -89644.9 -61870.5
87 301000 115 9301.17 35717.6 133545
88 304500 114 -61927.1 -103726 -86849.9
89 308000 113 -69720.1 2224.07 54028.9
90 311500 112 -76646.6 -12496 -11049.9
91 315000 111 -42682.7 -41290 -31146.6
92 318500 110 -28172.1 86262.8 39273.1
93 322000 109 -14027.3 39839.6 100300
94 325500 108 -6881.25 52287.8 -126491
95 329000 107 -61864 -23282.3 -46065.2
96 332500 106 90255.6 -162256 -45532.5
97 336000 105 52075.6 21089.1 -14953
98 339500 104 74393.8 -4965.44 -65693.1
99 343000 103 155913 128110 29886.6
100 346500 102 112519 -718.583 32950
1050000 100
1 0 301 775266 774843 810540
2 3500 300 96494.9 -71866.8 1071.41
3 7000 299 22067.2 67927.4 -21042.5
4 10500 298 11841.9 -80101.3 -14050.4
5 14000 297 5066.71 25527.7 265.914
6 17500 296 -44005.6 -50949.4 -9759.91
7 21000 295 -63975 -48984.2 10970.9
8 24500 294 -90942.1 27929.4 -8975.44
9 28000 293 -47559.7 17805.7 17491.1
10 31500 292 -37943.4 -8704.59 103662
11 35000 291 -61542.6 -26638.5 37807.7
12 38500 290 15278.3 -61895.6 48210.7
13 42000 289 2486.26 -26217.3 27969.7
14 45500 288 28104.3 -14528.6 -147.189
15 49000 287 63356.6 7245.61 37027.7
16 52500 286 -37006.7 25365.8 81253.5
17 56000 285 -76046 -23194.2 22122.7
18 59500 284 -59949.9 60584.7 81037.4
19 63000 283 26769 -37619.6 6835.68
20 66500 282 21000.5 -141208 1681.01
21 70000 281 -37710.2 -73085.1 -8557.23
22 73500 280 17593.6 -45019.1 -22947.9
23 77000 279 26268.4 -10021.9 35336.5
24 80500 278 -18712.7 50479.4 86539.9
25 84000 277 29807.4 42991.8 36070
26 87500 276 -27372.2 101190 87037.4
27 91000 275 -54700.1 -8227.31 -6302.21
28 94500 274 27177.8 18236.9 -68395.1
29 98000 273 -31260.4 -74277.6 -11778.5
30 101500 272 -6499.39 35809.1 43573.7
31 105000 271 621.387 35123.1 -48473
32 108500 270 3511.4 -31156.8 -62918.3
33 112000 269 32356.6 38963.5 80274.1
34 115500 268 58387.4 -6322.12 47274.3
35 119000 267 -6093.17 45108.8 20405.7
36 122500 266 -6541.31 -3885.99 42586.2
37 126000 265 34419 -54233.9 -24588.4
38 129500 264 45023.1 -8249.81 24512.9
39 133000 263 10096.2 27210.5 -43934.9
40 136500 262 -8087.08 -37895.3 -13323.5
41 140000 261 -29448.4 100762 50945.6
42 143500 260 -25287 -85485.2 37792.3
43 147000 259 34661.4 71860.4 -5774.46
44 150500 258 2281.17 -87992.9 -39798
45 154000 257 -95574.8 59101.6 -10152.2
46 157500 256 22941.7 -130902 36991.5
